Station,Year,24NOX,M1M1O3
CENTRAL,2023,93.13157719,18.48215718
CENTRAL,2024,94.42939301,17.02523558
CENTRAL_WESTERN,1990,54.94775547,14.01156431
CENTRAL_WESTERN,1991,49.89052832,15.99793474
CENTRAL_WESTERN,1992,56.2438132,20.10295869
CENTRAL_WESTERN,1993,61.46340491,17.73537092
CENTRAL_WESTERN,1994,64.98132791,15.65047201
CENTRAL_WESTERN,1995,63.39021124,17.32015431
CENTRAL_WESTERN,1996,59.35715873,22.31753362
CENTRAL_WESTERN,1997,64.17497983,20.30641413
CENTRAL_WESTERN,1998,58.86795914,19.62909745
CENTRAL_WESTERN,1999,57.84411389,20.83622897
CENTRAL_WESTERN,2000,58.08518575,20.50966401
CENTRAL_WESTERN,2001,58.72484963,21.81181801
CENTRAL_WESTERN,2002,52.91121181,22.41456345
CENTRAL_WESTERN,2003,54.93060361,25.13224094
CENTRAL_WESTERN,2004,56.91588737,30.68067011
CENTRAL_WESTERN,2005,60.39431085,25.35865974
CENTRAL_WESTERN,2006,57.06268694,24.65610414
CENTRAL_WESTERN,2007,52.55600628,26.78787461
CENTRAL_WESTERN,2008,56.9738681,25.77695715
CENTRAL_WESTERN,2009,54.58509964,26.14177854
CENTRAL_WESTERN,2010,56.37574138,24.83450513
CENTRAL_WESTERN,2011,54.09116048,25.58152316
CENTRAL_WESTERN,2012,53.99531385,23.58601454
CENTRAL_WESTERN,2013,57.44211343,25.27252662
CENTRAL_WESTERN,2014,41.57955883,25.07769322
CENTRAL_WESTERN,2015,36.28700623,26.67999977
CENTRAL_WESTERN,2016,38.57445042,27.07346113
CENTRAL_WESTERN,2017,33.06525551,28.70594111
CENTRAL_WESTERN,2018,34.21045987,27.28076922
CENTRAL_WESTERN,2019,28.02456732,31.43747006
CENTRAL_WESTERN,2020,23.48713384,26.55129436
CENTRAL_WESTERN,2021,23.90342474,27.88739028
CENTRAL_WESTERN,2022,22.05827422,27.55026276
CENTRAL_WESTERN,2023,23.1684809,28.4971015
CENTRAL_WESTERN,2024,23.60253292,27.86038675
KWAI_CHUNG,1990,52.1611285,10.63361631
KWAI_CHUNG,1991,48.95903127,12.06171504
KWAI_CHUNG,1992,54.44384125,12.97356228
KWAI_CHUNG,1993,61.40089343,17.21829732
KWAI_CHUNG,1994,55.55164528,19.50147547
KWAI_CHUNG,1995,54.20020872,19.77573241
KWAI_CHUNG,1996,50.61666382,24.75032037
KWAI_CHUNG,1997,56.53695584,22.04395961
KWAI_CHUNG,1998,52.23282368,20.31955742
KWAI_CHUNG,1999,130.9784207,15.11856443
KWAI_CHUNG,2000,129.850898,14.43950809
KWAI_CHUNG,2001,122.0456823,17.05289618
KWAI_CHUNG,2002,120.2961061,15.5655239
KWAI_CHUNG,2003,117.4057025,18.31318287
KWAI_CHUNG,2004,109.690937,20.90337587
KWAI_CHUNG,2005,111.6275658,15.96364773
KWAI_CHUNG,2006,111.8483794,11.89901692
KWAI_CHUNG,2007,112.3815616,16.58013206
KWAI_CHUNG,2008,104.4251913,19.28895445
KWAI_CHUNG,2009,90.01924678,21.49470457
KWAI_CHUNG,2010,96.16991241,19.25065809
KWAI_CHUNG,2011,90.70123478,19.59457329
KWAI_CHUNG,2012,88.13457351,20.68540672
KWAI_CHUNG,2013,95.64329061,20.38377225
KWAI_CHUNG,2014,91.81604824,21.20880651
KWAI_CHUNG,2015,79.44019159,21.83794501
KWAI_CHUNG,2016,76.24847859,20.75960547
KWAI_CHUNG,2017,66.11606737,23.01323446
KWAI_CHUNG,2018,60.22760127,23.56741335
KWAI_CHUNG,2019,58.33709099,27.75505862
KWAI_CHUNG,2020,50.22014678,23.38798872
KWAI_CHUNG,2021,54.75623595,25.01128745
KWAI_CHUNG,2022,46.9263863,24.85311988
KWAI_CHUNG,2023,52.1782955,24.4897576
KWAI_CHUNG,2024,47.70362876,24.04695944
KWUN_TONG,1998,129.4227382,10.94675153
KWUN_TONG,1999,129.4146842,13.52041517
KWUN_TONG,2000,121.4247888,13.36496576
KWUN_TONG,2001,124.6012434,15.48609661
KWUN_TONG,2002,136.044681,14.43561511
KWUN_TONG,2003,96.43583457,19.04115543
KWUN_TONG,2004,90.31947635,23.57817134
KWUN_TONG,2005,84.58474676,19.46374173
KWUN_TONG,2006,88.1421474,19.67146826
KWUN_TONG,2007,88.44668669,19.84515642
KWUN_TONG,2008,83.65739598,20.06215457
KWUN_TONG,2009,71.22866472,22.51383541
KWUN_TONG,2010,77.04116862,19.1375312
KWUN_TONG,2011,75.65694,22.68496393
KWUN_TONG,2012,75.87744615,21.18986654
KWUN_TONG,2013,73.81443136,23.4716674
KWUN_TONG,2014,67.47947223,23.49330273
KWUN_TONG,2015,65.57870412,22.45309528
KWUN_TONG,2016,63.22660308,21.32545955
KWUN_TONG,2017,48.59960312,23.39428674
KWUN_TONG,2018,44.89120798,21.9453133
KWUN_TONG,2019,45.22823435,25.16772265
KWUN_TONG,2020,41.44271915,24.58223848
KWUN_TONG,2021,47.07579716,26.21605491
KWUN_TONG,2022,42.1653751,25.80971403
KWUN_TONG,2023,36.61561919,26.95745938
KWUN_TONG,2024,37.38743658,26.06162186
MONG_KOK,2011,213.026371,8.472585865
MONG_KOK,2012,224.0255786,7.024617166
MONG_KOK,2013,223.8964075,7.928001308
MONG_KOK,2014,178.5922107,10.56531613
MONG_KOK,2015,150.0612686,10.93159893
MONG_KOK,2016,113.4813319,11.99046326
MONG_KOK,2017,109.1566295,14.81245894
MONG_KOK,2018,108.9338348,14.21981944
MONG_KOK,2019,101.8441754,17.6172237
MONG_KOK,2020,108.5768028,14.51401678
MONG_KOK,2021,92.27424789,15.68762387
MONG_KOK,2022,86.80471876,13.87536298
MONG_KOK,2023,85.81805388,15.96003727
MONG_KOK,2024,88.25617967,14.39705653
NORTH,2020,28.85046638,41.09111164
NORTH,2021,30.60399861,41.36045117
NORTH,2022,25.16115326,38.3562181
NORTH,2023,24.1574552,37.91484902
NORTH,2024,22.69198818,35.54064495
SHAM_SHUI_PO,1998,102.3971294,13.39466486
SHAM_SHUI_PO,1999,97.84867616,14.52215994
SHAM_SHUI_PO,2000,97.53075758,13.41249172
SHAM_SHUI_PO,2001,90.35448723,16.64344011
SHAM_SHUI_PO,2002,92.30016043,16.625862
SHAM_SHUI_PO,2003,87.57362927,17.885397
SHAM_SHUI_PO,2004,83.08412415,24.97092614
SHAM_SHUI_PO,2005,85.75007177,19.8534244
SHAM_SHUI_PO,2006,86.46417599,18.35388189
SHAM_SHUI_PO,2007,82.83111708,21.05150632
SHAM_SHUI_PO,2008,84.08704194,20.93528375
SHAM_SHUI_PO,2009,74.75678945,21.21298038
SHAM_SHUI_PO,2010,82.56672938,20.4025119
SHAM_SHUI_PO,2011,76.89736083,22.20450682
SHAM_SHUI_PO,2012,80.22253358,18.08367977
SHAM_SHUI_PO,2013,84.16324008,19.83947086
SHAM_SHUI_PO,2014,71.91681521,22.60305616
SHAM_SHUI_PO,2015,61.75047857,23.12253001
SHAM_SHUI_PO,2016,58.31030639,21.38303868
SHAM_SHUI_PO,2017,50.0975959,23.34413504
SHAM_SHUI_PO,2018,43.80721688,23.41366582
SHAM_SHUI_PO,2019,42.24723394,26.72406398
SHAM_SHUI_PO,2020,41.57310165,24.67919027
SHAM_SHUI_PO,2021,41.13220789,25.97795851
SHAM_SHUI_PO,2022,36.99403512,24.91452346
SHAM_SHUI_PO,2023,37.13032919,25.6184765
SHAM_SHUI_PO,2024,36.46736389,24.29258862
SHATIN,1998,60.13758572,25.41884643
SHATIN,1999,59.57897962,29.27319617
SHATIN,2000,55.7373845,25.58833769
SHATIN,2001,61.08653465,29.76441053
SHATIN,2002,60.64438901,27.34917046
SHATIN,2003,62.72527055,31.23234472
SHATIN,2004,58.97098858,41.6811879
SHATIN,2005,51.61161311,34.18674847
SHATIN,2006,48.68483497,33.96424726
SHATIN,2007,48.17151353,37.70769122
SHATIN,2008,53.17120311,35.84479779
SHATIN,2009,42.4895418,36.36923256
SHATIN,2010,46.13824449,33.7548549
SHATIN,2011,43.55046692,34.81771925
SHATIN,2012,41.7330702,33.65864282
SHATIN,2013,47.18897827,36.1891465
SHATIN,2014,40.78780286,36.65400873
SHATIN,2015,36.11404398,36.8321289
SHATIN,2016,35.47716046,31.2337636
SHATIN,2017,30.23453467,35.8652849
SHATIN,2018,27.22277264,36.72036587
SHATIN,2019,24.47725711,40.28357586
SHATIN,2020,21.38945758,33.17334283
SHATIN,2021,25.32992917,36.03598975
SHATIN,2022,20.05165452,35.03577769
SHATIN,2023,20.05953385,35.38196903
SHATIN,2024,18.381671,34.47567787
SOUTHERN,2020,22.21630861,31.60336504
SOUTHERN,2021,23.5353598,29.45889333
SOUTHERN,2022,20.11239118,27.72649739
SOUTHERN,2023,20.92995634,28.32434038
SOUTHERN,2024,19.45227477,27.20808982
TAI_PO,1990,42.82535253,9.465839572
TAI_PO,1991,47.41507645,11.71408385
TAI_PO,1992,58.25207564,6.299381572
TAI_PO,1998,60.91306826,26.43526451
TAI_PO,2015,33.77312486,36.1189609
TAI_PO,2016,31.85760308,34.53079704
TAI_PO,2017,32.61225914,38.35679746
TAI_PO,2018,32.18535652,34.99461079
TAI_PO,2019,28.90473939,40.97590147
TAI_PO,2020,23.89300921,35.45095856
TAI_PO,2021,26.25572557,38.25640163
TAI_PO,2022,21.20087718,35.64203655
TAI_PO,2023,20.28081641,36.10233024
TAI_PO,2024,20.61405229,35.36564905
TAP_MUN,1998,6.861972738,30.7628103
TAP_MUN,1999,8.027656339,32.1100998
TAP_MUN,2000,7.334575666,29.66933396
TAP_MUN,2001,7.670358751,32.30360968
TAP_MUN,2002,10.05455222,32.58358282
TAP_MUN,2003,9.737200754,36.5308012
TAP_MUN,2004,12.46183965,39.35896397
TAP_MUN,2005,11.73043467,37.13468773
TAP_MUN,2006,9.163938542,34.8512032
TAP_MUN,2007,11.59051159,34.81650398
TAP_MUN,2008,10.00654422,35.7884942
TAP_MUN,2009,8.75397542,34.77988177
TAP_MUN,2010,9.093825244,31.12167223
TAP_MUN,2011,10.09274143,36.42762484
TAP_MUN,2012,9.446193138,32.01754775
TAP_MUN,2013,8.923621786,33.18048423
TAP_MUN,2014,9.556652444,35.27855063
TAP_MUN,2015,7.050675187,35.48777741
TAP_MUN,2016,7.777094275,35.44967377
TAP_MUN,2017,6.5772688,34.89208391
TAP_MUN,2018,7.31176164,33.32192978
TAP_MUN,2019,6.875839705,36.49171761
TAP_MUN,2020,5.965750404,33.79284178
TAP_MUN,2021,6.608529184,36.63501705
TAP_MUN,2022,8.204398437,33.07089631
TAP_MUN,2023,8.912109398,35.08152254
TAP_MUN,2024,5.783756399,34.7122317
TSEUNG_KWAN_O,2016,29.46726507,34.10284004
TSEUNG_KWAN_O,2017,26.00664283,35.30456084
TSEUNG_KWAN_O,2018,26.55489741,34.0931499
TSEUNG_KWAN_O,2019,26.06465986,37.44131598
TSEUNG_KWAN_O,2020,19.93871381,32.383257
TSEUNG_KWAN_O,2021,21.11324037,34.55265742
TSEUNG_KWAN_O,2022,17.37758256,31.08677253
TSEUNG_KWAN_O,2023,17.67299755,32.82172597
TSEUNG_KWAN_O,2024,16.71957114,31.77871804
TSUEN_WAN,1990,84.74172298,14.31143013
TSUEN_WAN,1991,90.40779142,13.96757173
TSUEN_WAN,1992,104.6353947,14.59764408
TSUEN_WAN,1998,95.56694169,16.42321571
TSUEN_WAN,1999,87.49887017,18.64139932
TSUEN_WAN,2000,92.64538985,16.72190012
TSUEN_WAN,2001,86.71244067,19.17095209
TSUEN_WAN,2002,90.74515113,18.55005361
TSUEN_WAN,2003,85.62999687,26.90951301
TSUEN_WAN,2004,83.01986131,23.94380902
TSUEN_WAN,2005,87.37961207,19.31046851
TSUEN_WAN,2006,83.49862769,19.01459208
TSUEN_WAN,2007,75.30355888,21.24244342
TSUEN_WAN,2008,79.09152666,20.23462058
TSUEN_WAN,2009,69.53257414,22.2528739
TSUEN_WAN,2010,75.03873555,20.04017068
TSUEN_WAN,2011,70.55604726,23.13068157
TSUEN_WAN,2012,70.39433794,22.31007167
TSUEN_WAN,2013,70.67306844,22.51058121
TSUEN_WAN,2014,64.01808038,23.73484742
TSUEN_WAN,2015,64.15409868,23.83498621
TSUEN_WAN,2016,64.002435,22.59592145
TSUEN_WAN,2017,47.11772029,26.84973345
TSUEN_WAN,2018,39.24464129,26.40128339
TSUEN_WAN,2019,40.58402673,29.79444972
TSUEN_WAN,2020,30.63325469,25.01980646
TSUEN_WAN,2021,37.14763347,26.11785439
TSUEN_WAN,2022,33.64110001,25.28256162
TSUEN_WAN,2023,33.13970397,25.19414376
TSUEN_WAN,2024,33.32161512,25.80622263
TUEN_MUN,2014,53.82415749,32.03237868
TUEN_MUN,2015,50.17270899,32.397918
TUEN_MUN,2016,51.13443124,30.23914184
TUEN_MUN,2017,42.80790152,36.69487605
TUEN_MUN,2018,41.65700939,34.64865635
TUEN_MUN,2019,42.26008511,38.9224767
TUEN_MUN,2020,32.53724846,33.58840949
TUEN_MUN,2021,35.16968608,36.34621523
TUEN_MUN,2022,31.83975153,34.47354992
TUEN_MUN,2023,31.50273734,36.34109594
TUEN_MUN,2024,31.44822664,35.08045532
TUNG_CHUNG,1999,38.43055561,32.9874038
TUNG_CHUNG,2000,42.52660341,31.18819137
TUNG_CHUNG,2001,42.31581305,36.44988015
TUNG_CHUNG,2002,41.89104969,34.49894584
TUNG_CHUNG,2003,39.30602702,37.91526057
TUNG_CHUNG,2004,47.56245077,46.02137387
TUNG_CHUNG,2005,47.97051087,32.37148189
TUNG_CHUNG,2006,47.30230515,31.70016166
TUNG_CHUNG,2007,44.14040046,33.21980275
TUNG_CHUNG,2008,47.42206424,34.25743974
TUNG_CHUNG,2009,41.73003495,35.02569562
TUNG_CHUNG,2010,43.28422198,32.41563782
TUNG_CHUNG,2011,46.52016236,37.62793179
TUNG_CHUNG,2012,43.0215853,32.02599557
TUNG_CHUNG,2013,44.63965744,33.84528977
TUNG_CHUNG,2014,40.29393398,33.62983324
TUNG_CHUNG,2015,34.76594286,32.73139139
TUNG_CHUNG,2016,36.18041943,28.99694587
TUNG_CHUNG,2017,30.54958067,32.68487164
TUNG_CHUNG,2018,28.63614544,32.6192921
TUNG_CHUNG,2019,27.8671597,37.65244888
TUNG_CHUNG,2020,21.91684173,32.56029736
TUNG_CHUNG,2021,20.6214999,33.67753677
TUNG_CHUNG,2022,20.11840421,33.32757175
TUNG_CHUNG,2023,22.0658501,31.11652384
TUNG_CHUNG,2024,23.70141769,32.26582201
YUEN_LONG,1995,60.14105246,22.68150875
YUEN_LONG,1996,68.9206434,25.51873784
YUEN_LONG,1997,81.12434133,25.69529732
YUEN_LONG,1998,74.86583917,24.29470062
YUEN_LONG,2004,79.99037597,37.66721524
YUEN_LONG,2005,75.65742755,30.86934026
YUEN_LONG,2006,71.52584391,32.70585756
YUEN_LONG,2007,68.24421111,35.99307244
YUEN_LONG,2008,66.34366022,33.59426152
YUEN_LONG,2009,56.96895846,36.38904074
YUEN_LONG,2010,62.41271046,32.64554731
YUEN_LONG,2011,59.4244536,38.11713934
YUEN_LONG,2012,57.72412642,31.24588678
YUEN_LONG,2013,61.30047638,33.3578163
YUEN_LONG,2014,53.59849241,35.29905092
YUEN_LONG,2015,46.75946781,33.50945985
YUEN_LONG,2016,46.89715137,32.73139139
YUEN_LONG,2017,37.29807843,37.08072245
YUEN_LONG,2018,38.44995205,35.74410832
YUEN_LONG,2019,38.21139734,41.42602878
YUEN_LONG,2020,30.36334882,33.08866996
YUEN_LONG,2021,34.26460014,36.71249877
YUEN_LONG,2022,31.65693421,35.72922142
YUEN_LONG,2023,31.77909627,35.29560564
YUEN_LONG,2024,28.94539784,34.04210068
